,place_name,커피가 맛있어요,디저트가 맛있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,뷰가 좋아요,음료가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요,대화하기 좋아요,가성비가 좋아요,집중하기 좋아요,화장실이 깨끗해요,주차하기 편해요,좌석이 편해요,음식이 맛있어요,매장이 넓어요,단체모임 하기 좋아요,특별한 날 가기 좋아요,재료가 신선해요양이 많아요,혼밥하기 좋아요
0,토즈모임센터 종로점,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
1,카페노티드 안국,0,3102,0,871,333,423,0,0,0,1010,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2,어니언 안국점,1396,2231,0,983,1436,0,0,0,663,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
3,블루보틀 삼청 카페,1323,0,0,536,434,428,430,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
4,스태픽스,230,166,0,0,148,0,323,0,145,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
5,아키비스트,1618,437,0,0,356,0,0,497,0,376,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
6,안녕인사동,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
7,산모퉁이,144,0,0,0,72,0,324,0,122,0,53,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
8,포비 광화문점,784,0,1580,509,0,265,0,0,0,335,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
9,차마시는 뜰,0,0,0,219,164,0,192,0,114,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
10,테라로사 광화문점,513,123,0,0,192,124,0,135,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
11,프릳츠 원서점,712,455,0,0,285,0,169,188,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
12,카페 레이어드 안국점,250,0,859,252,233,0,0,0,0,265,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
13,나무사이로,107,0,0,32,36,0,0,23,0,0,24,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
15,포비브라이트 광화문점,269,0,260,86,76,71,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
16,H라운지,0,0,0,174,332,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,472,322,176,0.0,0.0,0.0
17,토즈모임센터 광화문점,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
18,개뿔,2,0,0,4,3,0,0,0,6,0,0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0
19,청수당,245,281,0,0,301,0,0,198,182,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
20,부빙,31,233,0,57,0,42,0,0,0,159,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
21,카페키이로,86,212,0,101,0,0,0,67,0,93,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
22,도트블랭킷,0,0,0,147,130,111,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,455,0,0,0.0,0.0,0.0
23,카페아르크,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
24,대충유원지 인왕산,47,0,0,0,34,0,49,25,21,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
25,카페 하이웨이스트 익선점,151,310,0,0,157,0,0,0,74,76,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
26,라카페갤러리,6,0,0,4,5,3,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
27,서울서 둘째로잘하는집,0,180,0,256,0,0,0,87,0,390,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
28,슬로우파크,0,0,0,120,141,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,295,88,0,0.0,0.0,0.0
29,내자상회,130,99,0,59,71,0,0,71,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
